;Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating
8496;Lethal Skies II;PS2;2003;Simulation;Sammy Corporation;0.16;73;26;tbd;NA;Asmik Ace Entertainment, Inc;T
8497;F1 2011;3DS;2011;Racing;Codemasters;0.16;59;15;6.8;13;Codemasters;E
8499;Guilty Gear Judgment;PSP;2006;Fighting;Majesco Entertainment;0.16;77;17;6.6;8;Arc System Works;T
8501;NCAA Football 09 All-Play;Wii;2008;Sports;Electronic Arts;0.16;49;5;5.8;32;EA Canada;E
8502;Splatterhouse;PS3;2010;Action;Namco Bandai Games;0.16;59;49;7.7;67;Namco Bandai Games America, Namco Bandai Games;M
8504;Doctor Lautrec and the Forgotten Knights;3DS;2011;Adventure;Konami Digital Entertainment;0.16;53;19;6.1;8;WinkySoft;E10+
8509;Midway Arcade Treasures 2;GC;2004;Misc;Midway Games;0.16;74;21;tbd;NA;Backbone Entertainment;M
8510;Hot Wheels World Race;GC;2003;Racing;THQ;0.16;59;5;7;5;Climax Group;E
8512;Monster Jam;Wii;2007;Racing;Activision;0.16;NA;NA;7.8;8;Activision;E
8514;Castlevania Judgment;Wii;2008;Fighting;Konami Digital Entertainment;0.16;49;33;5.9;56;Eighting;T
8518;Apache: Air Assault;X360;2010;Simulation;Activision;0.16;70;26;6.4;31;Gaijin Entertainment;T
8519;Aliens: Infestation;DS;2011;Action;Sega;0.16;76;43;8.2;29;Gearbox Software, WayForward;T
8520;Return to PopoloCrois: A Story of Seasons Fairytale;3DS;2015;Simulation;Marvelous Entertainment;0.16;72;28;6.8;15;Marvelous Inc.;E10+
8521;Angry Birds Trilogy;PS3;2012;Action;Activision;0.16;66;8;3.7;20;Rovio Mobile, Rovio Entertainment;E
8524;Crash Tag Team Racing;GC;2005;Racing;Vivendi Games;0.16;66;14;7.3;11;Radical Entertainment;E10+
8525;El Shaddai: Ascension of the Metatron;X360;2011;Action;Ignition Entertainment;0.16;75;44;7;47;Ignition Entertainment;T
8526;NPPL: Championship Paintball 2009;PS3;2008;Shooter;Activision Value;0.16;45;9;7.4;10;FUN Labs;E10+
8527;True Swing Golf;DS;2005;Sports;Nintendo;0.16;66;32;7.7;11;T&E Soft;E
8528;TimeSplitters: Future Perfect;XB;2005;Shooter;Electronic Arts;0.16;83;54;8.9;35;Free Radical Design;M
8530;Zoo Hospital;Wii;2008;Simulation;Majesco Entertainment;0.16;61;4;tbd;NA;Torus Games;E
8532;Midway Arcade Treasures 3;PS2;2005;Misc;Midway Games;0.16;67;23;tbd;NA;Digital Eclipse;E
8533;Goosebumps HorrorLand;Wii;2008;Adventure;Scholastic Inc.;0.16;37;4;3.5;8;SScholastic Media;E10+
8535;Thrillville: Off the Rails;X360;2007;Strategy;LucasArts;0.16;73;24;2.8;34;Frontier Developments;E10+
8538;Fatal Frame II: Crimson Butterfly;PS2;2003;Action;Ubisoft;0.16;81;40;9.2;100;Tecmo;M
8539;Murdered: Soul Suspect;XOne;2014;Action;Square Enix;0.16;51;17;7;130;Airtight Games;M
8540;Shadow Man: 2econd Coming;PS2;2002;Adventure;Acclaim Entertainment;0.16;68;24;7.6;8;Acclaim;M
8542;Dynasty Warriors 4;XB;2003;Action;Tecmo Koei;0.16;75;18;8.8;18;Omega Force;T
8543;Warriors Orochi 3;X360;2011;Action;Ubisoft Annecy;0.16;71;9;8.1;19;Omega Force;T
8544;Wakeboarding Unleashed Featuring Shaun Murray;PS2;2003;Sports;Activision;0.16;83;23;9;12;Shaba Games;E
8545;The Incredibles: Rise of the Underminer;GC;2005;Action;THQ;0.16;67;7;6.6;7;Heavy Iron Studios;E10+
8546;Beowulf: The Game;PS3;2007;Action;Ubisoft;0.16;51;18;5.2;17;Ubisoft;M
8547;Dewy's Adventure;Wii;2007;Platform;Konami Digital Entertainment;0.16;67;29;6.3;15;Konami;E
8549;Alone in the Dark: The New Nightmare;PS;2001;Adventure;Infogrames;0.16;77;15;8.1;40;Darkworks;M
8550;The BIGS;PS3;2007;Sports;Take-Two Interactive;0.16;77;19;7.2;12;Blue Castle Games;E
8551;Fracture;PS3;2008;Shooter;LucasArts;0.16;62;40;5.8;18;Day 1 Studios;T
8552;Flushed Away;GC;2006;Platform;D3Publisher;0.16;47;4;tbd;NA;Monkey Bar Games;E
8553;NBA Live 08;Wii;2007;Sports;Electronic Arts;0.16;52;11;7.1;21;EA Canada;E
8555;Hyperdimension Neptunia Victory;PS3;2012;Role-Playing;Compile Heart;0.16;55;19;7.8;94;Idea Factory, Compile Heart;T
8557;Silent Scope 3;PS2;2002;Shooter;Konami Digital Entertainment;0.16;61;12;tbd;NA;KCET;M
8558;NASCAR Heat 2002;GBA;2002;Racing;Infogrames;0.16;52;4;tbd;NA;Crawfish Interactive;E
8559;Marble Saga: Kororinpa;Wii;2009;Puzzle;Konami Digital Entertainment;0.16;74;16;7.3;6;Hudson Entertainment;E
8564;Robots;GC;2005;Action;Vivendi Games;0.16;56;4;tbd;NA;Eurocom Entertainment Software;E
8566;The King of Fighters XII;PS3;2009;Fighting;Ignition Entertainment;0.16;57;48;5.3;46;SNK Playmore;T
8569;Dungeon Siege: Throne of Agony;PSP;2006;Role-Playing;Take-Two Interactive;0.16;74;32;8.1;21;SuperVillain Studios;T
8570;Rio;DS;2011;Misc;THQ;0.16;59;5;tbd;NA;THQ;E
8572;Finding Nemo: Escape to the Big Blue;DS;2006;Action;THQ;0.16;66;5;tbd;NA;Altron;E
8575;Culdcept SAGA;X360;2006;Role-Playing;Namco Bandai Games;0.16;75;33;8.7;49;Omiya Soft, Jamsworks;T
8591;The Crew;PC;2014;Racing;Ubisoft;0.16;71;12;6.4;463;Ubisoft Reflections, Ivory Tower;T
8592;Ready 2 Rumble Revolution;Wii;2009;Sports;Atari;0.16;37;31;tbd;NA;10tacle Studios;T
8593;Create;PS3;2010;Action;Electronic Arts;0.16;61;23;5.2;5;EA Bright Light;E
8597;Eragon;DS;2006;Action;Vivendi Games;0.16;63;17;7.6;13;Amaze Entertainment;T
8598;TimeShift;PS3;2007;Shooter;Vivendi Games;0.16;70;16;6.3;27;Saber Interactive;M
8600;Rapala Pro Fishing;XB;2004;Sports;Zoo Digital Publishing;0.16;59;7;tbd;NA;FUN Labs;E
8601;Spyro: Shadow Legacy;DS;2005;Action;Vivendi Games;0.16;50;18;5.7;16;Amaze Entertainment;E
8603;The Sims 3: Seasons;PC;2012;Simulation;Electronic Arts;0.16;73;12;7.5;48;The Sims Studio;T
8608;Scarface: Money. Power. Respect.;PSP;2006;Strategy;Vivendi Games;0.16;58;12;3.1;15;Radical Entertainment;M
8609;Angry Birds Star Wars;XOne;2013;Strategy;Activision;0.16;53;4;6.9;63;Exient Entertainment;E
8611;Blitz: The League;X360;2006;Sports;Midway Games;0.16;69;23;6.5;14;Midway;M
8614;NBA 2K12;PC;2011;Sports;Take-Two Interactive;0.16;86;5;7.1;66;Visual Concepts;E
8618;FlatOut 2;PS2;2006;Racing;Empire Interactive;0.16;73;44;7.5;27;Bugbear;T
8619;Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress;PSP;2006;Fighting;Atari;0.16;64;20;7.8;17;CyberConnect2;T
8622;NCAA Final Four 2001;PS;2000;Sports;Sony Computer Entertainment;0.16;55;7;tbd;NA;989 Sports;E
8623;Heroes over Europe;PS3;2009;Simulation;Ubisoft;0.16;62;34;7;16;Atari, Transmission Games, Atari SA;T
8627;Konami Krazy Racers;GBA;2001;Racing;Konami Digital Entertainment;0.16;78;9;tbd;NA;KCEK;E
8628;BioShock The Collection;XOne;2016;Shooter;Take-Two Interactive;0.16;84;16;8.3;79;2K Games;M
8632;F-Zero: GP Legend;GBA;2003;Racing;Nintendo;0.16;77;31;8.5;18;Suzak;E
8634;Vegas Party;Wii;2009;Misc;Unknown;0.16;33;6;tbd;NA;Storm City Games;T
8635;Mr. Driller 2;GBA;2001;Puzzle;Namco Bandai Games;0.16;62;16;tbd;NA;Namco;E
8636;Klonoa;Wii;2008;Platform;Namco Bandai Games;0.16;77;37;8.6;39;Paon Corporation;E10+
8637;Bulletstorm;PC;2011;Shooter;Electronic Arts;0.16;82;34;7.7;768;Epic Games, People Can Fly;M
8638;Putty Squad;PS4;2013;Platform;System 3;0.16;38;8;2.9;52;System 3;E10+
8642;Field Commander;PSP;2006;Strategy;Sony Online Entertainment;0.16;77;53;7.8;31;Sony Online Entertainment, Mind Control Software;T
8646;Custom Robo Arena;DS;2006;Fighting;Nintendo;0.16;74;22;8.3;27;Noise Inc.;E10+
8647;Ar Nosurge: Ode to an Unborn Star;PS3;2014;Role-Playing;Tecmo Koei;0.16;67;23;7.8;49;Gust;T
8653;Shaun White Skateboarding;X360;2010;Sports;Ubisoft;0.16;61;34;5.3;7;Ubisoft Montreal;T
8654;Dragon Ball: Origins 2;DS;2010;Action;Namco Bandai Games;0.16;70;22;tbd;NA;Game Republic;T
8656;Trigger Man;PS2;2004;Shooter;Play It;0.16;32;4;4.8;16;Point of View;T
8659;Wildstar;PC;2014;Role-Playing;NCSoft;0.16;82;52;7.4;965;Carbine Studios;T
8661;Tiger Woods PGA Tour 2004;GC;2003;Sports;Electronic Arts;0.16;89;16;7.8;6;EA Sports;E
8665;Amped 3;X360;2005;Sports;Take-Two Interactive;0.16;72;49;7.1;36;2K Sports;T
8667;Innocent Life: A Futuristic Harvest Moon;PSP;2006;Simulation;Rising Star Games;0.16;67;22;7.8;23;ArtePiazza;E
8671;NBA 2K3;GC;2002;Sports;Sega;0.16;84;11;tbd;NA;Visual Concepts;E
8673;NHL 2005;XB;2004;Sports;Electronic Arts;0.16;77;27;6.2;11;EA Sports;E
8674;Arcana Heart;PS2;2007;Fighting;AQ Interactive;0.16;77;12;8.1;8;Examu;T
8676;Battlestar Galactica;PS2;2003;Shooter;Vivendi Games;0.16;66;22;6.8;6;Warthog;T
8677;Time Hollow;DS;2008;Adventure;Konami Digital Entertainment;0.16;64;24;7.8;21;Tenky;T
8678;Medieval Games;Wii;2009;Action;Vir2L Studios;0.16;NA;NA;5.9;13;N-Fusion Interactive Entertainment Corp.;E10+
8680;Tak and the Guardians of Gross;Wii;2008;Action;THQ;0.16;63;5;8;5;THQ;E10+
8682;Jurassic Park: The Game;X360;2011;Action;Unknown;0.16;60;9;3.6;138;Telltale Games;T
8687;Monster House;DS;2006;Adventure;THQ;0.16;62;14;tbd;NA;Artificial Mind and Movement;E
8688;Dynasty Warriors 8: Xtreme Legends;PS3;2013;Action;Tecmo Koei;0.16;68;4;6.8;9;Omega Force;T
8689;Godzilla Unleashed;Wii;2007;Fighting;Atari;0.16;44;31;7.2;37;Pipeworks Software, Inc.;E10+
8693;He-Man: Power of Grayskull;GBA;2002;Action;TDK Mediactive;0.16;50;8;tbd;NA;Taniko;E
8694;Sherlock Holmes vs. Jack the Ripper;X360;2009;Adventure;Focus Home Interactive;0.16;62;24;6.8;14;Frogwares;T
8695;Sniper: Ghost Warrior;PC;2010;Shooter;City Interactive;0.16;55;23;5.5;267;City Interactive;M
8697;Polaris SnoCross;PS;2000;Racing;Vatical Entertainment;0.16;57;6;tbd;NA;Vicarious Visions;E
8700;Mat Hoffman's Pro BMX 2;GBA;2002;Sports;Activision;0.16;82;5;tbd;NA;HotGen;E
8701;Fist of the North Star: Ken's Rage;X360;2010;Action;Ubisoft Annecy;0.16;59;38;7.3;23;Koei;M
8702;Chaotic: Shadow Warriors;X360;2009;Action;Activision;0.16;60;4;5;4;FUN Labs;E10+
8706;Digimon Battle Spirit 2;GBA;2003;Fighting;Namco Bandai Games;0.15;63;5;tbd;NA;Dimps Corporation;E
8709;Driven;PS2;2001;Racing;BAM! Entertainment;0.15;38;10;3.4;5;Bam Entertainment;T
8710;James Noir's Hollywood Crimes;3DS;2011;Adventure;Ubisoft;0.15;60;22;6.6;5;Ubisoft;T
8711;Warhammer 40,000: Fire Warrior;PS2;2003;Shooter;THQ;0.15;64;23;8.3;63;Kuju Entertainment;M
8712;All-Pro Football 2K8;PS3;2007;Sports;Take-Two Interactive;0.15;73;23;7.3;21;Visual Concepts;E10+
8713;Lufia: Curse of the Sinistrals;DS;2010;Role-Playing;Square Enix;0.15;80;8;8;13;Neverland;E10+
8714;MTV Music Generator 2;PS2;2001;Misc;Codemasters;0.15;77;16;8.5;11;Jester Interactive;T
8715;Mugen Souls;PS3;2012;Role-Playing;Nippon Ichi Software;0.15;55;24;7.3;35;Compile Heart, GCREST;T
8716;Ultimate Spider-Man;DS;2005;Action;Activision;0.15;78;17;7.7;10;Vicarious Visions;E10+
8719;Burnout 2: Point of Impact;GC;2003;Racing;Acclaim Entertainment;0.15;89;24;8.5;18;Criterion Games;E
8720;Paris-Dakar Rally;PS2;2001;Racing;Acclaim Entertainment;0.15;36;6;3.9;15;Broadsword Interactive;E
8723;Atelier Iris: Eternal Mana;PS2;2004;Role-Playing;Tecmo Koei;0.15;74;38;7.7;38;Gust;T
8725;F.E.A.R. 3;PC;2011;Shooter;Warner Bros. Interactive Entertainment;0.15;74;34;5.9;420;Day 1 Studios;M
8726;Chessmaster: The Art of Learning;DS;2007;Misc;Ubisoft;0.15;NA;NA;6.7;10;Ubisoft;E
8728;Tak: The Great Juju Challenge;GC;2005;Platform;THQ;0.15;75;17;9.3;4;Avalanche Software;E
8729;Fantasia: Music Evolved;XOne;2014;Misc;Disney Interactive Studios;0.15;77;48;7.5;67;Harmonix Music Systems;E10+
8731;Knockout Kings 2003;GC;2002;Sports;Electronic Arts;0.15;78;13;6.5;4;EA Sports;T
8732;Bomberman;PSP;2006;Puzzle;Konami Digital Entertainment;0.15;73;30;7;7;Hudson;E
8733;NCAA Football 2004;GC;2003;Sports;Electronic Arts;0.15;89;16;7.5;6;EA Sports;E
8734;XGIII: Extreme G Racing;GC;2001;Racing;Acclaim Entertainment;0.15;83;21;7.8;14;Acclaim;E
8735;Digimon World 4;PS2;2005;Role-Playing;Atari;0.15;48;7;6.9;37;Bandai;E
8736;Stormrise;X360;2009;Strategy;Sega;0.15;48;36;6.8;17;Creative Assembly;M
8745;The Godfather: Blackhand Edition;Wii;2007;Adventure;Electronic Arts;0.15;77;38;8.5;48;EA Redwood Shores;M
8746;Wolfenstein: The Old Blood;XOne;2015;Action;Bethesda Softworks;0.15;75;23;8;101;MachineGames;
8749;Naruto: Powerful Shippuden;3DS;2012;Platform;Namco Bandai Games;0.15;71;13;5.4;19;Inti Creates;E10+
8750;American Chopper;XB;2004;Racing;Zoo Digital Publishing;0.15;44;6;5.9;9;Creat Studios;T
8751;The Adventures of Tintin: The Game;3DS;2011;Action;Ubisoft;0.15;56;8;5.7;12;Ubisoft Montpellier;E10+
8752;Dynasty Warriors 8;X360;2013;Action;Tecmo Koei;0.15;65;21;7.5;35;Omega Force;T
8754;Kingdom Under Fire: Heroes;XB;2005;Strategy;Deep Silver;0.15;78;55;7.5;23;Phantagram;M
8756;The Terminator: Dawn of Fate;XB;2002;Action;Atari;0.15;53;19;5.2;5;Paradigm Entertainment;T
8757;Infected;PSP;2005;Shooter;THQ;0.15;74;49;8.3;30;Planet Moon Studios;M
8759;Birds of Steel;X360;2012;Simulation;Konami Digital Entertainment;0.15;77;18;8.9;18;Gaijin Entertainment;T
8760;Cars: Race-O-Rama;X360;2009;Racing;THQ;0.15;54;8;5.8;5;Incinerator Games;E
8764;NBA Street Homecourt;PS3;2007;Sports;Electronic Arts;0.15;81;31;6.5;16;EA Canada;E
8765;Darksiders II;PC;2012;Action;Nordic Games;0.15;81;23;7.8;653;Vigil Games;M
8766;Enthusia Professional Racing;PS2;2005;Racing;Konami Digital Entertainment;0.15;70;43;7.6;17;Konami;E
8767;DiRT 3;PC;2011;Racing;Codemasters;0.15;86;23;6.9;433;Codemasters;T
8768;NCAA GameBreaker 2001;PS2;2000;Sports;Sony Computer Entertainment;0.15;57;9;tbd;NA;989 Sports;E
8770;Get On Da Mic;PS2;2004;Misc;Eidos Interactive;0.15;49;29;6.3;7;Artificial Mind and Movement;T
8771;Darksiders II;WiiU;2012;Action;THQ;0.15;85;36;8.2;153;Vigil Games;M
8773;Army Men: Sarge's War;GC;2004;Shooter;Global Star;0.15;56;11;6.7;7;3DO;T
8776;Block Party;Wii;2008;Misc;Activision;0.15;NA;NA;2.8;4;Activision;E10+
8779;Blitz: The League II;PS3;2008;Sports;Midway Games;0.15;62;25;7.5;15;;
8781;Project Sylpheed: Arc of Deception;X360;2006;Shooter;Microsoft Game Studios;0.15;64;45;8.6;24;Game Arts, Seta Corporation;T
8782;Bigfoot: Collision Course;DS;2009;Racing;Zoo Digital Publishing;0.15;26;4;tbd;NA;Destination Software;E
8783;Frogger's Adventures: The Rescue;GC;2003;Platform;Konami Digital Entertainment;0.15;61;4;tbd;NA;Konami;E
8784;NHL 2K10;PS3;2009;Sports;Take-Two Interactive;0.15;66;23;7.1;8;Take-Two Interactive;E10+
8787;Michael Jackson: The Experience;PSP;2010;Misc;Ubisoft;0.15;NA;NA;6.2;6;Ubisoft;E10+
8788;MLB Power Pros 2008;PS2;2008;Sports;Konami Digital Entertainment;0.15;67;9;8.5;8;Konami;E
8791;WordJong;DS;2007;Puzzle;White Park Bay Software;0.15;77;9;7.7;9;Magellan Interactive;E
8792;Tears to Tiara II: Heir of the Overlord;PS3;2013;Role-Playing;Nippon Ichi Software;0.15;65;18;8.7;41;Aqua Plus;T
8793;Puzzle Quest: Galactrix;DS;2009;Puzzle;D3Publisher;0.15;75;33;6.7;6;Infinite Interactive;E10+
8795;de Blob 2;X360;2011;Platform;THQ;0.15;77;54;7.5;23;Blue Tongue Entertainment;E10+
8796;Disney's The Lion King: Simba's Mighty Adventure;PS;2000;Action;Activision;0.15;30;5;6.9;9;Paradox Development;E
8799;Samurai Warriors: Katana;Wii;2007;Action;Tecmo Koei;0.15;53;30;6.8;6;Koei, Omega Force;T
8800;NBA 09: The Inside;PS3;2008;Sports;Sony Computer Entertainment;0.15;63;17;5.1;7;SCEA San Diego Studios;E
8802;Kingdom of Paradise;PSP;2005;Role-Playing;Sony Computer Entertainment;0.15;72;38;7.5;19;Climax Entertainment;T
8804;Naruto Shippuden: Legends: Akatsuki Rising;PSP;2009;Fighting;Namco Bandai Games;0.15;60;15;6.2;10;Racjin;T
8805;Marvel Super Hero Squad: The Infinity Gauntlet;X360;2010;Action;THQ;0.15;55;10;6.3;6;THQ;E10+
8807;Bleach: Dark Souls;DS;2007;Fighting;Sega;0.15;82;28;7.9;14;Treasure;T
8809;Prince of Persia: The Sands of Time;GBA;2003;Action;Ubisoft;0.15;75;25;8.8;5;Ubisoft Montreal;T
8810;Zoids: Battle Legends;GC;2003;Action;Tomy Corporation;0.15;NA;NA;8.1;14;Tomy Corporation;T
8812;Prince of Persia: The Forgotten Sands;DS;2010;Action;Ubisoft;0.15;57;7;6.3;6;Ubisoft Casablanca;E10+
8813;World Series Baseball 2K3;XB;2003;Sports;Sega;0.15;89;22;8.6;14;Blue Shift;E
8815;Serious Sam;XB;2002;Shooter;Take-Two Interactive;0.15;75;22;8.2;16;Croteam;M
8816;Bomberman;DS;2005;Puzzle;Ubisoft;0.15;75;30;7;12;Racjin;E
8818;Killer7;GC;2005;Action;Capcom;0.15;74;57;8.5;64;Grasshopper Manufacture;M
8819;Super Monkey Ball Adventure;GC;2006;Platform;Sega;0.15;51;24;7.2;9;TT Games;E
8820;FIFA Soccer 2002;PS;2001;Sports;Electronic Arts;0.15;81;8;6.4;5;EA Sports;E
8821;Street Fighter Anniversary Collection;XB;2004;Fighting;Capcom;0.15;79;33;6.4;9;Capcom;T
8824;Shadow Ops: Red Mercury;XB;2004;Shooter;Atari;0.15;61;45;6.1;14;Zombie;T
8825;Indigo Prophecy;PS2;2005;Adventure;Atari;0.15;83;47;7.8;104;Quantic Dream;M
8826;FIFA 06: Road to FIFA World Cup;X360;2005;Sports;Electronic Arts;0.15;62;39;6;34;EA Canada;E
8828;NBA ShootOut 2001;PS2;2001;Sports;Sony Computer Entertainment;0.15;54;12;tbd;NA;989 Sports;E
8833;Musashi: Samurai Legend;PS2;2005;Role-Playing;Atari;0.15;64;47;8.9;9;Square Enix;T
8835;LEGO The Hobbit;PSV;2014;Action;Warner Bros. Interactive Entertainment;0.15;NA;NA;2.5;13;TT Games;E10+
8837;Oreshika: Tainted Bloodlines;PSV;2014;Role-Playing;Sony Computer Entertainment;0.15;78;26;8;84;Alfa System;T
8840;F1 2001;PS2;2001;Racing;Electronic Arts;0.15;83;13;8.3;9;EA Sports;E
8841;Darksiders;PC;2010;Action;THQ;0.15;83;18;7.8;603;Vigil Games;M
8843;Top Gun: Combat Zones;GC;2002;Simulation;Titus;0.15;59;10;7.1;7;Titus Software;E
8847;NHL 09;PS2;2008;Sports;Electronic Arts;0.15;NA;NA;7.6;7;EA Canada;E10+
8849;Fantastic Four: Rise of the Silver Surfer;PS3;2007;Action;Take-Two Interactive;0.15;47;26;6.2;10;Visual Concepts;T
8854;All-Star Baseball 2003;GC;2002;Sports;Acclaim Entertainment;0.15;83;16;8;6;Acclaim;E
8858;Rocky;XB;2002;Fighting;Rage Software;0.15;74;22;7.3;6;Rage Software;T
8859;Ford Racing 2;XB;2003;Racing;Empire Interactive;0.15;62;11;tbd;NA;Razorworks Studios;E
8862;Megamind: Ultimate Showdown;PS3;2010;Action;THQ;0.15;43;5;4.2;6;THQ Australia;E10+
8863;Space Invaders Extreme;DS;2008;Shooter;Square Enix;0.15;85;41;7.6;16;Taito Corporation;E
8865;Thor: God of Thunder;Wii;2011;Action;Sega;0.15;56;14;8;9;Red Fly Studio;T
8867;BloodRayne 2;XB;2004;Shooter;THQ;0.15;71;35;8.5;4;Terminal Reality;M
8868;Jaws Unleashed;XB;2006;Action;THQ;0.15;51;29;6.2;9;Appaloosa Interactive;M
8870;Star Trek: Voyager Elite Force;PS2;2001;Shooter;Codemasters;0.15;52;12;6.4;5;Pipe Dream Interactive;T
8871;X-Men: The Official Game;GC;2006;Action;Activision;0.15;50;31;6.3;8;Hypnos;T
8874;Brain Boost: Gamma Wave;DS;2005;Puzzle;505 Games;0.15;40;12;tbd;NA;Interchannel;E
8876;All-Star Baseball 2003;GBA;2002;Sports;Acclaim Entertainment;0.15;77;6;tbd;NA;Software Creations;E
8881;187: Ride or Die;PS2;2005;Racing;Ubisoft;0.15;52;33;6.8;12;Ubisoft;M
8885;Battleborn;XOne;2016;Shooter;Take-Two Interactive;0.15;71;20;7.2;171;Gearbox Software;T
8886;eJay Clubworld;PS2;2003;Misc;Empire Interactive;0.15;69;5;8.6;10;UDS;E
8887;Geist;GC;2005;Adventure;Nintendo;0.15;66;43;8.5;23;n-Space;M
8888;The King of Fighters XIV;PS4;2016;Fighting;Deep Silver;0.15;79;54;8.7;208;SNK Playmore;T
8890;Sword Art Online: Hollow Realization;PSV;2016;Role-Playing;Namco Bandai Games;0.15;60;5;7;8;Bandai Namco Games;T
8891;The Incredibles: Rise of the Underminer;DS;2005;Action;THQ;0.15;54;6;tbd;NA;Helixe;E10+
8893;Street Fighter Alpha 3;GBA;2002;Fighting;Capcom;0.15;83;17;7.8;10;Crawfish Interactive;T
8896;Deponia;PC;2012;Adventure;Daedalic;0.15;74;33;8.2;307;Daedalic Entertainment;
8897;Metal Gear Solid: Peace Walker HD Edition;PS3;2011;Action;Konami Digital Entertainment;0.15;NA;NA;8;60;Genki, Kojima Productions;T
8899;Ridge Racer DS;DS;2004;Racing;Namco Bandai Games;0.15;63;35;6.7;7;Namco;E
8900;High Velocity Bowling;PS3;2010;Sports;Sony Computer Entertainment;0.15;66;14;8.1;23;SCEA;E10+
8901;LEGO Harry Potter Collection;PS4;2016;Action;Warner Bros. Interactive Entertainment;0.15;73;16;8.1;7;Warner Bros. Interactive Entertainment;E10+
8904;Brain Boost: Beta Wave;DS;2005;Puzzle;505 Games;0.15;39;12;2.5;4;Interchannel;E
8906;Shenmue II;DC;2001;Adventure;Sega;0.15;88;9;9.4;201;Sega AM2;T
8907;Armored Core: For Answer;X360;2008;Simulation;Ubisoft;0.15;64;22;7.7;38;From Software;T
8909;Major League Baseball 2K8;PS2;2008;Sports;Bethesda Softworks;0.15;NA;NA;6.5;4;2K Sports;E
8910;Capcom Classics Collection;XB;2005;Misc;Capcom;0.15;81;23;tbd;NA;Digital Eclipse;T
8911;Fugitive Hunter: War on Terror;PS2;2003;Shooter;Play It;0.15;35;15;5;23;Black Ops Entertainment;M
8912;The Incredible Hulk: Ultimate Destruction;GC;2005;Action;Vivendi Games;0.15;84;30;9.1;14;Radical Entertainment;T
8914;Prince of Persia: The Two Thrones;GC;2005;Action;Ubisoft;0.15;84;34;8.1;22;Ubisoft;M
8915;Blazing Angels 2: Secret Missions of WWII;PS3;2007;Simulation;Ubisoft;0.15;70;10;7.2;12;Ubisoft Romania;T
8917;Pac-Man World 3;XB;2005;Platform;Namco Bandai Games;0.15;65;16;tbd;NA;Blitz Games;E
8918;SNK Arcade Classics Vol. 1;PSP;2008;Misc;Ignition Entertainment;0.15;68;13;tbd;NA;Terminal Reality;T
8920;All-Star Baseball 2005;XB;2004;Sports;Unknown;0.15;75;31;8.8;12;Acclaim;E
8921;The Legend of Heroes: Trails of Cold Steel II;PS3;2014;Role-Playing;Nippon Ichi Software;0.15;90;4;7.8;71;Falcom;T
8924;Batman Begins;GC;2005;Action;Electronic Arts;0.15;66;38;7.2;10;Eurocom Entertainment Software;T
8926;Nancy Drew: The White Wolf of Icicle Creek;Wii;2008;Adventure;Sega;0.15;67;9;tbd;NA;Her Interactive;E
8927;Toy Story Racer;PS;2001;Racing;Activision;0.15;76;8;8.7;9;Traveller's Tales;E
8928;Disney's Donald Duck: Goin' Quackers;PS;2000;Platform;Ubisoft;0.15;65;4;7;10;Ubisoft Shanghai;E
8931;Ys: The Oath in Felghana;PSP;2010;Role-Playing;Falcom Corporation;0.15;80;25;8.3;57;Falcom;T
8932;Crash: Twinsanity;XB;2004;Platform;Vivendi Games;0.15;66;30;8.7;29;Traveller's Tales;E
8940;Arena Football;XB;2006;Sports;Electronic Arts;0.15;65;17;8.5;10;EA Tiburon;E10+
8942;Medal of Honor: Infiltrator;GBA;2003;Shooter;Electronic Arts;0.15;80;19;7.2;12;Netherock Ltd.;T
8945;Lego Star Wars: The Force Awakens;WiiU;2016;Action;Warner Bros. Interactive Entertainment;0.15;74;6;8;11;TT Games;E10+
8947;The Wizard of Oz: Beyond The Yellow Brick Road;DS;2008;Role-Playing;D3Publisher;0.15;68;18;6;4;Media Vision;E
8949;Super Monkey Ball Deluxe;XB;2005;Misc;Sega;0.15;81;25;8.2;9;Sega;E
8953;The Cursed Crusade;X360;2011;Action;DTP Entertainment;0.15;39;27;4.4;29;Kylotonn;M
8957;Earth Defense Force 2025;X360;2013;Shooter;D3Publisher;0.15;68;25;8.1;63;Sandlot;M
8958;NHL 2K10;X360;2009;Sports;Take-Two Interactive;0.15;69;31;7.9;15;Take-Two Interactive;E10+
8963;Tom Clancy's Ghost Recon;GC;2003;Shooter;Ubisoft;0.15;59;15;5.4;17;Red Storm Entertainment;M
8964;Pac-Man Party 3D;3DS;2011;Misc;Namco Bandai Games;0.15;43;11;5.4;11;Namco Bandai Games;E
8966;Darkstalkers Chronicle: The Chaos Tower;PSP;2004;Fighting;Capcom;0.15;74;27;7.9;25;Capcom;T
8967;WWE '13;Wii;2012;Action;THQ;0.15;74;4;6;9;THQ;T
8968;Mad Dash Racing;XB;2001;Racing;Eidos Interactive;0.15;65;21;7.7;6;Crystal Dynamics;T
8969;Bakugan Battle Brawlers: Defenders of the Core;X360;2010;Action;Activision;0.15;62;10;tbd;NA;Now Production;E10+
8970;Rayman Origins;3DS;2012;Platform;Ubisoft;0.15;71;8;6.3;65;UBlart Montpellier;E10+
