"","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"5839","PC","2012","Role-Playing","Electronic Arts",0.3,81,25,"6.6",1097,"Big Huge Games","M"
"5841","3DS","2016","Misc","Nintendo",0.3,68,37,"6.8",16,"Nintendo, Nd Cube","E"
"5842","PS2","2005","Misc","Konami Digital Entertainment",0.3,78,25,"tbd",NA,"Harmonix Music Systems","E10+"
"5843","GC","2002","Racing","Acclaim Entertainment",0.3,78,18,"7.9",18,"Criterion Games","E"
"5844","GBA","2005","Platform","Disney Interactive Studios",0.3,59,6,"tbd",NA,"Climax Group","E"
"5845","PS2","2003","Action","Capcom",0.3,65,34,"8.2",58,"Capcom","T"
"5847","GBA","2005","Adventure","Global Star",0.3,36,5,"3.8",6,"High Voltage Software, Backbone Entertainment","E"
"5848","PS2","2005","Adventure","Sony Computer Entertainment",0.3,61,18,"8.5",30,"Idol Minds","E10+"
"5850","XOne","2016","Fighting","Namco Bandai Games",0.3,81,11,"8.5",51,"CyberConnect2","T"
"5855","PS4","2016","Action","Warner Bros. Interactive Entertainment",0.3,75,59,"7.3",89,"Rocksteady Studios","M"
"5857","PS2","2006","Adventure","Sony Computer Entertainment",0.3,62,53,"8.2",40,"SCE Studio Cambridge","M"
"5858","PS","N/A","Racing","Unknown",0.3,53,5,"tbd",NA,"Sinister Games","E"
"5861","PS3","2011","Fighting","Rising Star Games",0.3,77,26,"8.2",76,"SNK Playmore","T"
"5862","X360","2014","Shooter","505 Games",0.3,NA,NA,"6.6",26,"Rebellion","M"
"5864","PSV","2014","Action","Warner Bros. Interactive Entertainment",0.3,NA,NA,"7.7",12,"TT Games","E10+"
"5866","3DS","2011","Action","Ubisoft",0.3,53,32,"5.5",26,"Ubisoft","T"
"5867","X360","2009","Role-Playing","Banpresto",0.3,69,49,"7",57,"Banpresto, SoftMax","T"
"5868","DS","2007","Action","Warner Bros. Interactive Entertainment",0.3,66,16,"tbd",NA,"WayForward","E"
"5870","PS2","2002","Strategy","Tecmo Koei",0.3,77,14,"8.9",17,"Koei","E"
"5874","X360","2013","Racing","Codemasters",0.3,79,29,"6.6",33,"Codemasters","E"
"5878","GBA","2003","Racing","THQ",0.3,48,14,"5.9",8,"Graphic State","E"
"5880","X360","2007","Role-Playing","Square Enix",0.3,63,4,"5.8",5,"Square Enix","T"
"5881","X360","2011","Fighting","Ubisoft",0.3,61,13,"7.5",10,"Ubisoft","E10+"
"5882","DS","2009","Adventure","Disney Interactive Studios",0.3,45,4,"tbd",NA,"Altron","E"
"5884","PS2","2000","Platform","Ubisoft",0.3,90,16,"8.2",42,"Ubisoft","E"
"5887","3DS","2011","Action","Namco Bandai Games",0.3,46,20,"7.3",14,"Bandai Namco Games",""
"5888","PSV","2012","Sports","Electronic Arts",0.3,63,6,"7.3",38,"EA Tiburon","E"
"5889","PS","2000","Action","3DO",0.3,74,8,"5.3",4,"3DO","T"
"5890","GC","N/A","Sports","Electronic Arts",0.3,82,11,"8.2",5,"EA Canada","E"
"5891","PS3","2007","Shooter","Midway Games",0.3,77,22,"7.9",48,"Midway","M"
"5892","PS2","2003","Fighting","THQ",0.3,73,19,"8.6",7,"Anchor","M"
"5893","PS2","2000","Role-Playing","Ubisoft",0.3,62,13,"5.3",9,"From Software","T"
"5896","Wii","2008","Action","Capcom",0.3,76,11,"8.9",41,"Capcom","M"
"5897","X360","2007","Action","Tecmo Koei",0.3,60,42,"7.4",22,"Omega Force","T"
"5898","PSP","2010","Action","Konami Digital Entertainment",0.3,73,28,"7.5",43,"Climax Group, Climax Studios","M"
"5902","X360","2008","Simulation","Konami Digital Entertainment",0.3,65,6,"7.7",7,"Konami","E"
"5903","PS2","2004","Fighting","Acclaim Entertainment",0.3,55,24,"6.1",7,"Acclaim","T"
"5904","PSV","2014","Role-Playing","Namco Bandai Games",0.3,67,28,"7.6",131,"Bandai Namco Games","T"
"5907","PS2","2005","Strategy","THQ",0.3,74,24,"8",13,"Pandemic Studios","M"
"5909","PS2","2006","Simulation","Electronic Arts",0.3,68,27,"8",25,"Maxis","T"
"5914","GBA","2002","Platform","THQ",0.3,46,5,"tbd",NA,"Hyperspace Cowgirls","E"
"5917","DS","2009","Simulation","Electronic Arts",0.3,64,9,"tbd",NA,"EA Games","E"
"5919","PS3","2012","Fighting","Tecmo Koei",0.3,49,19,"7",19,"Koei, Omega Force","M"
"5920","GC","2004","Action","Activision",0.3,69,23,"tbd",NA,"Edge of Reality","E"
"5921","PS2","2004","Sports","Midway Games",0.3,77,30,"9.5",4,"Point of View","T"
"5924","XB","2003","Action","Konami Digital Entertainment",0.3,56,22,"8.4",9,"Konami","E"
"5925","PSP","2006","Misc","Capcom",0.3,72,37,"7",5,"Digital Eclipse","T"
"5926","PC","2006","Simulation","Deep Silver",0.3,79,30,"8.3",38,"Related Designs","E10+"
"5927","XOne","2016","Action","Warner Bros. Interactive Entertainment",0.3,76,11,"7",18,"TT Games","E10+"
"5928","PSV","2011","Platform","Sony Computer Entertainment",0.3,57,62,"5.5",53,"Bigbig Studios","E10+"
"5929","PSP","2007","Platform","Activision",0.3,52,7,"7.4",9,"Treyarch","T"
"5930","XB","2003","Sports","Mud Duck Productions",0.3,48,6,"4.4",8,"",""
"5933","DS","N/A","Action","Activision",0.3,70,16,"6.5",4,"Vicarious Visions","E"
"5934","DS","2010","Role-Playing","Atlus",0.29,85,30,"9",81,"Atlus","E10+"
"5935","PS3","2012","Action","Sony Computer Entertainment",0.29,70,52,"7.3",57,"The Workshop","E10+"
"5938","X360","2007","Action","Electronic Arts",0.29,68,38,"6.8",20,"EA Games","E10+"
"5939","PS2","2002","Role-Playing","Ubisoft",0.29,71,19,"8.6",31,"Game Arts","T"
"5940","Wii","2009","Sports","Ubisoft",0.29,72,33,"8.7",30,"Ubisoft","E"
"5941","X360","2007","Action","Activision",0.29,60,51,"6.3",26,"Next Level Games","E10+"
"5942","X360","2009","Misc","Activision",0.29,57,34,"5.8",17,"Neversoft Entertainment, Underground Development","T"
"5944","DS","2010","Action","Warner Bros. Interactive Entertainment",0.29,74,14,"8",8,"WayForward","E10+"
"5945","PC","2004","Simulation","Electronic Arts",0.29,90,61,"8.8",676,"Maxis","T"
"5947","GBA","2003","Racing","Electronic Arts",0.29,77,9,"8.2",25,"Pocketeers","E"
"5948","X360","2010","Misc","Konami Digital Entertainment",0.29,74,36,"5.4",9,"Terminal Reality, 4mm Games","T"
"5951","XB","2002","Sports","TDK Mediactive",0.29,72,23,"6.9",9,"Simon & Schuster","T"
"5953","Wii","2010","Action","Electronic Arts",0.29,67,9,"5.2",5,"Electronic Arts","E10+"
"5954","X360","2009","Action","Eidos Interactive",0.29,73,44,"8.4",38,"Io Interactive","E10+"
"5955","PS2","2002","Adventure","505 Games",0.29,67,16,"tbd",NA,"Banpresto","T"
"5957","PSV","2014","Action","Warner Bros. Interactive Entertainment",0.29,NA,NA,"5.6",14,"TT Games","E10+"
"5959","PS2","2009","Action","D3Publisher",0.29,NA,NA,"7",4,"Papaya Studios","E10+"
"5960","GC","2005","Sports","Electronic Arts",0.29,88,36,"8.4",16,"EA Canada","E"
"5961","DS","2006","Action","THQ",0.29,59,6,"tbd",NA,"Natsume","E"
"5962","PS2","2000","Shooter","Midas Interactive Entertainment",0.29,66,11,"7.7",20,"Omega Force","T"
"5964","PSP","2006","Shooter","Sony Computer Entertainment",0.29,87,58,"9",118,"Sony Bend","M"
"5966","PSP","2010","Strategy","Sony Computer Entertainment",0.29,NA,NA,"9",4,"Novarama","E10+"
"5967","DS","2008","Role-Playing","Nintendo",0.29,69,23,"7.3",18,"Paon Corporation","E10+"
"5969","X360","2009","Action","THQ",0.29,61,18,"6.8",6,"Heavy Iron Studios","E10+"
"5970","PSV","2012","Racing","Sony Computer Entertainment",0.29,62,51,"6.4",69,"SCEA","E"
"5971","X360","2005","Sports","Electronic Arts",0.29,64,35,"5.6",16,"EA Canada","E"
"5972","Wii","2010","Sports","Namco Bandai Games",0.29,60,9,"7.6",5,"Namco Bandai Games","E"
"5974","PC","2005","Racing","Electronic Arts",0.29,82,19,"8.5",525,"Black Box","T"
"5978","PS3","2010","Shooter","Square Enix",0.29,58,42,"6",30,"Double Helix Games","T"
"5979","PSV","2011","Fighting","Capcom",0.29,80,48,"7.7",93,"Capcom","T"
"5980","Wii","2009","Strategy","Rising Star Games",0.29,87,50,"8.8",86,"Cing","T"
"5983","PS3","2009","Action","Tecmo Koei",0.29,64,27,"7.3",15,"Omega Force","T"
"5987","X360","2010","Role-Playing","Square Enix",0.29,67,60,"8.3",126,"Cavia Inc.","M"
"5988","DS","2008","Strategy","THQ",0.29,60,17,"5.4",7,"Altron","E"
"5989","XB","2005","Shooter","Midway Games",0.29,72,43,"8.1",16,"Midway Studios - Austin","M"
"5990","PS4","2015","Action","Activision",0.29,60,11,"5.7",68,"High Moon Studios","M"
"5991","PS4","2016","Sports","Konami Digital Entertainment",0.29,72,7,"6.6",8,"Konami","E"
"5994","PS3","2009","Shooter","Warner Bros. Interactive Entertainment",0.29,61,56,"7.1",25,"GRIN","M"
"5995","PS2","2004","Platform","Capcom",0.29,68,23,"8.5",63,"Valuewave Co.,Ltd.","E"
"5996","X360","2009","Shooter","Atari",0.29,82,67,"8.2",73,"Starbreeze","M"
"5997","PS2","2005","Racing","Take-Two Interactive",0.29,58,5,"7.3",8,"Eutechnyx","E"
"6000","PSP","2008","Racing","Empire Interactive",0.29,74,28,"8.2",21,"Bugbear","T"
"6011","GBA","2003","Misc","Atari",0.29,69,19,"8",5,"Mistic Software","E"
"6013","DS","2007","Simulation","Ubisoft",0.29,43,7,"tbd",NA,"Black Lantern Studios","E"
"6014","Wii","2008","Simulation","Rising Star Games",0.29,69,14,"8.8",17,"Marvelous Entertainment","E"
"6015","PS3","2015","Action","Capcom",0.29,NA,NA,"6.8",48,"Capcom","M"
"6016","PS2","2005","Simulation","Codemasters",0.29,76,31,"8.4",15,"IR Gurus","T"
"6017","Wii","2007","Action","Ubisoft",0.29,70,30,"7.7",21,"Ubisoft Montreal","T"
"6018","GC","2004","Role-Playing","Electronic Arts",0.29,74,25,"7.8",19,"EA Games","T"
"6019","DS","2005","Adventure","Nintendo",0.29,70,51,"8.1",42,"Cing","T"
"6020","PSP","2005","Role-Playing","Activision",0.29,84,30,"8.2",43,"Vicarious Visions","T"
"6021","GC","N/A","Action","Unknown",0.29,NA,NA,"7",4,"Blue Tongue Entertainment","E"
"6024","PC","2014","Shooter","Take-Two Interactive",0.29,75,55,"6.2",703,"2K Australia","M"
"6025","XB","2007","Sports","Electronic Arts",0.29,76,6,"6",4,"EA Tiburon","E"
"6027","Wii","2007","Simulation","Nintendo",0.29,77,43,"8",20,"Atlus","T"
"6028","PS3","2012","Action","Sony Computer Entertainment",0.29,77,71,"7.8",188,"LightBox Interactive","T"
"6029","XB","2003","Role-Playing","Ubisoft",0.29,65,30,"7.4",27,"Akella","T"
"6030","3DS","2012","Action","Electronic Arts",0.29,68,4,"3.7",16,"Electronic Arts","E"
"6031","PSP","2010","Simulation","Namco Bandai Games",0.29,71,30,"7.2",12,"Project Aces","T"
"6034","Wii","2009","Sports","Take-Two Interactive",0.29,68,5,"8.5",6,"Blue Castle Games","E10+"
"6036","X360","2008","Shooter","Codemasters",0.29,43,44,"6.8",87,"Spark Unlimited","T"
"6039","3DS","2014","Action","Sega",0.29,47,21,"6.3",160,"Sanzaru Games","E"
"6040","PS2","2002","Misc","TDK Mediactive",0.29,30,4,"5.1",17,"Mass Media","E"
"6041","Wii","2007","Sports","Konami Digital Entertainment",0.29,83,12,"8.4",45,"Konami","E"
"6044","PS2","2005","Role-Playing","Sega",0.29,81,15,"7.3",26,"RED Entertainment","T"
"6045","PS2","2002","Strategy","Tecmo Koei",0.29,79,14,"8.1",31,"Koei","T"
"6046","PS3","2011","Shooter","Ubisoft",0.29,45,42,"5.5",74,"Techland","M"
"6049","PS3","2013","Strategy","Activision",0.29,49,6,"3.6",23,"Exient Entertainment","E"
"6050","XOne","2014","Action","Konami Digital Entertainment",0.29,76,13,"5.4",348,"Kojima Productions","M"
"6051","PC","2003","Simulation","Electronic Arts",0.29,84,36,"8.7",268,"Maxis","E"
"6053","Wii","2007","Puzzle","D3Publisher",0.29,71,17,"6.2",5,"Vicious Cycle","E10+"
"6056","PS2","2007","Sports","Ubisoft",0.29,60,4,"tbd",NA,"Ubisoft Montreal","E10+"
"6057","PS","2000","Racing","Infogrames",0.29,71,11,"tbd",NA,"Circus Freak","E"
"6058","PS4","2015","Role-Playing","Nippon Ichi Software",0.29,80,43,"8.1",173,"Nippon Ichi Software","T"
"6061","Wii","2010","Action","Capcom",0.29,65,18,"8.8",13,"Capcom","T"
"6062","PS2","2003","Platform","Ubisoft",0.29,76,21,"8.6",38,"Ubisoft","E"
"6064","PSP","2008","Action","Tecmo Koei",0.29,56,14,"7.5",4,"Omega Force","T"
"6065","DS","2004","Puzzle","Sega",0.29,75,55,"8.1",18,"Sonic Team","T"
"6066","PS2","2004","Shooter","Midway Games",0.29,84,46,"8.9",27,"Midway","M"
"6069","DS","2008","Puzzle","Capcom",0.29,70,12,"tbd",NA,"Infinite Interactive","E"
"6074","Wii","2009","Action","Capcom",0.29,61,30,"6.5",35,"TOSE","M"
"6076","GC","2004","Platform","Vivendi Games",0.29,62,13,"8.3",10,"Eurocom Entertainment Software","E"
"6077","X360","2007","Racing","Electronic Arts",0.29,59,29,"5.2",30,"EA Tiburon","E"
"6079","PC","2011","Shooter","Wargaming.net",0.29,80,38,"3.7",1466,"Wargaming.net","T"
"6080","XB","2003","Sports","Microsoft Game Studios",0.29,80,41,"9",9,"Indie Built","E"
"6082","PS3","2010","Adventure","Namco Bandai Games",0.29,72,49,"7.9",35,"Game Republic","T"
"6083","WiiU","2013","Action","Ubisoft",0.29,86,5,"7.7",207,"Ubisoft","M"
"6084","GBA","2001","Platform","Interplay",0.29,72,10,"5.7",6,"Game Titan","E"
"6085","GBA","2003","Role-Playing","Nintendo",0.29,76,29,"8.1",24,"Namco","E10+"
"6086","DS","2008","Action","THQ",0.28,50,4,"tbd",NA,"Creat Studios","E"
"6088","PS2","2003","Racing","Ubisoft",0.28,48,9,"8.3",13,"Ubisoft","E"
"6089","PS2","2008","Misc","Sony Computer Entertainment",0.28,75,13,"tbd",NA,"SCEE London Studio","T"
"6091","PS3","2012","Sports","Sony Computer Entertainment",0.28,NA,NA,"7.9",9,"Clap Hanz","E"
"6093","GBA","2003","Sports","Activision",0.28,70,6,"tbd",NA,"Vicarious Visions","E"
"6094","GBA","2005","Action","Atari",0.28,69,12,"8.2",26,"Webfoot Technologies","E10+"
"6096","X360","2015","Shooter","Electronic Arts",0.28,NA,NA,"4.1",65,"Visceral Games","M"
"6099","PC","2014","Sports","Electronic Arts",0.28,82,9,"4.2",383,"EA Sports","E"
"6100","XB","2005","Action","Take-Two Interactive",0.28,85,55,"8.2",21,"Rockstar Toronto","M"
"6101","PS2","2001","Role-Playing","Midway Games",0.28,73,24,"8.8",55,"Sacnoth","M"
"6102","Wii","2006","Fighting","Atari",0.28,72,37,"8.5",40,"Spike","T"
"6103","PS2","N/A","Platform","Midway Games",0.28,69,26,"6.9",15,"Traveller's Tales","T"
"6104","XB","2002","Sports","Activision",0.28,58,22,"8",4,"Black Ops Entertainment","T"
"6106","GBA","2001","Action","Activision",0.28,61,10,"tbd",NA,"Digital Eclipse","E"
"6107","PS2","2003","Racing","Namco Bandai Games",0.28,66,35,"6.2",5,"Namco","T"
"6110","PS3","2007","Action","Sega",0.28,40,17,"4.8",16,"Shiny Entertainment","E10+"
"6111","GC","2003","Racing","Acclaim Entertainment",0.28,70,18,"9",4,"Climax Group","E"
"6113","PS3","2013","Misc","Sega",0.28,73,10,"8.4",108,"Sega","T"
"6116","XB","2005","Fighting","Electronic Arts",0.28,58,34,"7.5",20,"EA Canada, Nihilistic","T"
"6119","GBA","2006","Role-Playing","Nintendo",0.28,92,25,"8.4",190,"TOSE","E10+"
"6120","PSV","2012","Action","Warner Bros. Interactive Entertainment",0.28,54,8,"5.6",35,"TT Games","E10+"
"6123","PS2","2004","Action","Capcom",0.28,90,34,"8.5",35,"Clover Studio","T"
"6125","X360","2009","Shooter","Rising Star Games",0.28,76,29,"8.4",47,"Cave","T"
"6127","X360","2012","Role-Playing","Microsoft Game Studios",0.28,61,70,"4.8",80,"Lionhead Studios","T"
"6131","PS3","2007","Action","Tecmo Koei",0.28,58,23,"7.9",28,"Omega Force","T"
"6132","X360","2009","Action","Konami Digital Entertainment",0.28,59,39,"7.4",50,"Zombie Studios","M"
"6133","X360","2006","Simulation","Sega",0.28,71,60,"7",72,"From Software","T"
"6134","PS2","2003","Action","Electronic Arts",0.28,56,14,"7.6",21,"Warthog","E"
"6135","XB","N/A","Shooter","Midway Games",0.28,85,54,"8.2",21,"Epic Games","M"
"6136","XB","2003","Fighting","Microsoft Game Studios",0.28,68,41,"8.5",27,"Just Add Monsters","T"
"6138","Wii","2009","Sports","Zushi Games",0.28,NA,NA,"7.5",4,"Sims","E"
"6139","Wii","2007","Action","Activision",0.28,57,28,"6.7",7,"Amaze Entertainment","E10+"
"6144","PS2","2007","Action","Empire Interactive",0.28,58,24,"6.6",14,"Sidhe Interactive","M"
"6146","PSP","2006","Adventure","Disney Interactive Studios",0.28,52,34,"8",17,"Griptonite Games","T"
"6150","PS2","2006","Puzzle","Xplosiv",0.28,75,4,"tbd",NA,"Atomic Planet Entertainment","E"
"6151","X360","2011","Shooter","Codemasters",0.28,69,64,"6.1",29,"Codemasters","M"
"6152","X360","2011","Action","Activision",0.28,59,53,"6.7",30,"High Moon Studios","T"
"6154","DS","2007","Sports","Ubisoft",0.28,56,5,"7",4,"Ubisoft Quebec","E"
"6155","DS","2009","Action","Ubisoft",0.28,69,20,"7.3",22,"Griptonite Games","T"
"6156","PS2","2007","Shooter","Sony Computer Entertainment",0.28,70,24,"7.8",12,"Sony Bend","T"
"6158","PS2","2003","Platform","Atari",0.28,64,30,"7.8",10,"Paradigm Entertainment","T"
"6160","PSP","2007","Sports","Sony Computer Entertainment",0.28,82,12,"7.2",10,"SCEA San Diego Studios","E"
"6162","GBA","2001","Platform","Interplay",0.28,58,10,"tbd",NA,"Pipe Dream Interactive","E"
"6163","PS2","2006","Racing","Atari",0.28,69,41,"6.9",74,"Reflections Interactive","M"
"6167","DS","2006","Platform","Capcom",0.28,76,37,"8.3",32,"Inti Creates","E"
"6168","PS2","2004","Fighting","Eidos Interactive",0.28,46,23,"4.7",10,"Paradox Development","M"
"6169","GBA","2002","Action","Ubisoft",0.28,68,6,"tbd",NA,"Disney Interactive","E"
"6170","Wii","2009","Misc","Activision",0.28,50,12,"5.2",6,"Neversoft Entertainment","T"
"6171","PS","1998","Fighting","Sony Computer Entertainment",0.28,84,10,"8.6",18,"Team Ninja","T"
"6172","PS3","2010","Shooter","Namco Bandai Games",0.28,60,44,"5.9",27,"Volatile Games","M"
"6173","PS2","2006","Role-Playing","505 Games",0.28,71,26,"7.5",22,"Media Vision","T"
"6175","PS2","2002","Sports","Midway Games",0.28,76,22,"8.9",15,"Midway","E"
"6177","PS3","2011","Action","Ignition Entertainment",0.28,78,46,"7.5",40,"Ignition Entertainment","T"
"6178","PS3","2010","Sports","Activision",0.28,56,5,"6.7",6,"Robomodo","E"
"6181","XB","2004","Sports","Electronic Arts",0.28,80,18,"7.8",4,"EA Canada","E"
"6182","GC","N/A","Action","Disney Interactive Studios",0.28,71,17,"tbd",NA,"Traveller's Tales","T"
"6184","X360","2014","Shooter","Sega",0.28,NA,NA,"8.2",113,"Creative Assembly","M"
"6187","PSP","2008","Action","Spike",0.28,70,21,"7.5",6,"Bullets","T"
"6191","GC","2004","Action","THQ",0.28,65,8,"tbd",NA,"THQ","E"
"6192","XB","2001","Action","Konami Digital Entertainment",0.28,84,23,"8.3",39,"KCET","M"
"6193","PS3","2014","Shooter","505 Games",0.28,NA,NA,"6.4",18,"Rebellion","M"
"6194","WiiU","2014","Action","Nintendo",0.28,71,34,"7.1",133,"Indies Zero","E"
"6195","3DS","2014","Action","Activision",0.28,NA,NA,"3.4",5,"Toys for Bob","E10+"
"6197","PS2","2001","Sports","THQ",0.28,57,11,"5.8",4,"THQ","E"
"6198","PS2","2002","Sports","Midway Games",0.28,82,19,"8.4",11,"Midway","E"
"6199","X360","2009","Platform","Capcom",0.28,70,65,"7.3",87,"GRIN","M"
"6200","X360","2010","Misc","Electronic Arts",0.28,66,18,"6.6",16,"Electronic Arts","E"
"6201","GC","N/A","Misc","Unknown",0.28,54,10,"6.3",6,"Mass Media","E"
"6202","PS3","2009","Misc","Electronic Arts",0.28,66,13,"7.1",7,"EA Bright Light","E"
"6203","PS3","2011","Action","Sony Computer Entertainment",0.28,61,41,"6.5",17,"Zindagi Games","E10+"
"6206","PS2","2000","Sports","Midas Interactive Entertainment",0.28,54,15,"tbd",NA,"Takara","E"
"6207","PS2","2001","Shooter","Eidos Interactive",0.28,65,23,"4.9",11,"Zoom","T"
"6211","X360","2011","Sports","505 Games",0.28,55,14,"3.9",13,"HB Studios Multimedia","E"
"6215","XB","2005","Platform","Activision",0.28,71,28,"tbd",NA,"Toys for Bob","E10+"
"6217","X360","2007","Fighting","Sega",0.28,89,36,"7.6",62,"Sega AM2","T"
"6218","PS2","2009","Action","Activision",0.28,55,4,"7.5",13,"LucasArts","T"
"6219","X360","2013","Strategy","Activision",0.28,59,3,"5.6",25,"Exient Entertainment","E"
"6222","PS2","2003","Sports","Atari",0.28,NA,NA,"8.5",17,"Coresoft","T"
"6226","GC","2001","Sports","Acclaim Entertainment",0.28,78,15,"7.7",10,"Z-Axis, Ltd.","T"
"6227","PS3","2014","Action","Namco Bandai Games",0.28,71,28,"7.3",46,"Ganbarion","T"
"6231","XB","2005","Action","Activision",0.28,60,43,"7.8",17,"Exakt","M"
"6232","PS2","2003","Sports","Acclaim Entertainment",0.28,65,21,"7.7",19,"Acclaim Studios Cheltenham","T"
"6233","PS2","2008","Sports","Electronic Arts",0.28,55,4,"tbd",NA,"EA Canada","E"
"6234","Wii","2006","Adventure","THQ",0.28,56,15,"5.8",8,"AWE Games","E10+"
"6236","GBA","2003","Platform","Konami Digital Entertainment",0.28,91,29,"9.1",127,"KCET","T"
"6237","PS2","2002","Adventure","Ubisoft",0.28,57,9,"7",4,"Presto Studios","E"
"6238","DS","2009","Role-Playing","Atlus",0.28,80,26,"8.7",69,"Atlus","M"
"6241","PS3","2013","Shooter","Electronic Arts",0.28,58,27,"6.7",100,"Visceral Games","M"
"6246","PSP","2011","Misc","Sony Computer Entertainment",0.27,74,41,"7.2",35,"SCE Japan Studio","E"
"6247","Wii","2009","Action","Activision",0.27,75,12,"8.3",6,"Activision","E10+"
"6251","PS2","2000","Sports","Take-Two Interactive",0.27,65,9,"tbd",NA,"Ornith","E"
"6253","XB","2003","Fighting","Microsoft Game Studios",0.27,65,32,"6.5",8,"Studio Gigante","M"
"6254","PS3","2009","Misc","Activision",0.27,59,33,"4.7",9,"Neversoft Entertainment","T"
"6256","GC","2004","Fighting","Atari",0.27,66,9,"5.8",12,"Pyramid","T"
"6258","DS","2006","Platform","Activision",0.27,71,17,"6.4",9,"Vicarious Visions","E"
"6259","GBA","2002","Racing","Konami Digital Entertainment",0.27,69,11,"tbd",NA,"Konami","E"
"6263","PS3","2008","Action","Sony Computer Entertainment",0.27,78,42,"8.1",87,"SCE Japan Studio","M"
"6264","PSP","2011","Sports","Take-Two Interactive",0.27,NA,NA,"5",7,"Visual Concepts","E"
"6267","XB","2001","Sports","Midway Games",0.27,79,20,"8.7",11,"Black Box","E"
"6269","X360","2013","Racing","Codemasters",0.27,78,51,"5.8",156,"Codemasters","E"
"6271","PS","2000","Adventure","THQ",0.27,51,8,"6",7,"Heavy Iron Studios","M"
"6272","Wii","2011","Action","Electronic Arts",0.27,64,6,"3.6",21,"Firebrand Games","E10+"
"6276","PS","2001","Sports","Acclaim Entertainment",0.27,67,11,"8.1",7,"Z-Axis, Ltd.","E"
"6277","PC","2014","Action","Bethesda Softworks",0.27,68,18,"5.9",721,"Tango Gameworks","M"
"6278","PC","2012","Action","Electronic Arts",0.27,NA,NA,"8",60,"BioWare","M"
"6279","X360","2008","Misc","Konami Digital Entertainment",0.27,38,28,"5.1",17,"Zoe Mode, HB Studios Multimedia","T"
"6280","X360","2011","Action","Capcom",0.27,72,48,"7.5",60,"Capcom Vancouver","M"
"6281","Wii","2008","Simulation","Destineer",0.27,41,7,"5.4",18,"Arcade Moon","T"
"6282","PS3","2015","Misc","Activision",0.27,NA,NA,"5.1",22,"Activision, FreeStyleGames","T"
"6284","PS2","2004","Sports","Sony Computer Entertainment",0.27,61,57,"7.2",13,"Eurocom Entertainment Software","E"
"6288","PS2","2002","Racing","Codemasters",0.27,81,22,"8.5",20,"Codemasters","T"
"6289","PS","2000","Sports","Eidos Interactive",0.27,57,10,"tbd",NA,"Attention To Detail","E"
"6291","GC","2003","Role-Playing","Nintendo",0.27,80,48,"9",59,"Monolith Soft","T"
"6294","X360","2010","Action","Sega",0.27,41,35,"5.9",54,"Sega Studios San Francisco","T"
"6295","PSV","N/A","Role-Playing","Nippon Ichi Software",0.27,78,28,"7.6",116,"Nippon Ichi Software","T"
"6296","PS2","2004","Action","Ubisoft",0.27,65,24,"8.6",12,"Venom Games","T"
"6297","GBA","2002","Racing","Infogrames",0.27,78,4,"tbd",NA,"Crawfish Interactive","E"
"6299","PSP","2007","Action","Take-Two Interactive",0.27,81,36,"7.8",21,"Rockstar Toronto, Rockstar Leeds","M"
"6300","PSP","2010","Simulation","Sony Computer Entertainment",0.27,57,19,"tbd",NA,"SCEE London Studio","E"
"6305","XB","2004","Racing","Microsoft Game Studios",0.27,87,69,"9.1",33,"Digital Illusions","E"
"6306","DS","2005","Puzzle","Namco Bandai Games",0.27,71,41,"7.1",7,"Namco","E"
"6308","X360","2012","Racing","Codemasters",0.27,64,33,"5.7",22,"Codemasters","E"
"6309","WiiU","2012","Misc","Nintendo",0.27,60,21,"5.4",18,"FreeStyleGames","E10+"
"6310","GBA","2006","Platform","Activision",0.27,49,11,"tbd",NA,"Vicarious Visions","E"
"6311","PS2","2001","Racing","Eidos Interactive",0.27,62,17,"tbd",NA,"Opus","E"
"6314","GC","2005","Platform","Disney Interactive Studios",0.27,67,12,"tbd",NA,"Avalanche Software","E10+"
"6315","X360","2006","Sports","Electronic Arts",0.27,79,49,"5.3",167,"EA Sports","E10+"
"6316","PC","2004","Strategy","Atari",0.27,81,39,"5",346,"Frontier Developments","E"
"6317","GC","2002","Platform","Electronic Arts",0.27,69,12,"8.7",15,"Krome Studios","E"
"6318","GBA","2002","Fighting","THQ",0.27,73,10,"7.5",6,"Natsume","E"
"6321","PS2","2004","Role-Playing","Square Enix",0.27,67,21,"8.4",20,"Racjin","T"
"6322","XB","2005","Racing","Electronic Arts",0.27,79,25,"5.9",7,"EA Sports","E"
"6323","PS2","2004","Shooter","THQ",0.27,70,26,"8.5",21,"Terminal Reality","M"
"6324","XOne","2015","Action","Electronic Arts",0.27,60,26,"4.3",77,"EA Tiburon","E"
"6325","X360","2008","Shooter","Sega",0.27,76,63,"6.8",43,"Bizarre Creations","M"
"6326","XB","2001","Sports","Electronic Arts",0.27,89,17,"8.8",5,"EA Sports","E"
"6327","XOne","2014","Action","Warner Bros. Interactive Entertainment",0.27,69,20,"6.8",36,"TT Games","E10+"
"6328","X360","2013","Role-Playing","Square Enix",0.27,69,21,"6.6",222,"Square Enix","T"
"6329","PSP","2006","Sports","Electronic Arts",0.27,78,23,"tbd",NA,"Team Fusion","E"
"6335","PS2","2005","Action","Capcom",0.27,75,52,"8.3",62,"Capcom","M"
